set_id,dj_name,set_title,youtube_url
set_bk6Xst6euQk,Solomun,Solomun Boiler Room Set,https://www.youtube.com/watch?v=bk6Xst6euQk
set_1_unknown_dj,Fred again..,Fred again.. | Boiler Room: London,https://www.youtube.com/watch?v=c0-hvjV2A5Y
set_T3gcbYL2VMg,Charli xcx,Charli xcx Boiler Room Set,https://www.youtube.com/watch?v=T3gcbYL2VMg
set_2_unknown_dj,Kaytranada,Kaytranada | Boiler Room: Montreal,https://www.youtube.com/watch?v=-5EQIiabJvk
set_3_unknown_dj,¥ØU$UK€ ¥UK1MAT$U,¥ØU$UK€ ¥UK1MAT$U | Boiler Room: Tokyo,https://www.youtube.com/watch?v=T1tcUfUhR5U
set_x9VYKrtziSg,Sama' Abdulhadi,Sama' Abdulhadi Boiler Room Set,https://www.youtube.com/watch?v=x9VYKrtziSg
set_Zy_JR9_Y8dE,Chase & Status,Chase & Status Boiler Room Set,https://www.youtube.com/watch?v=Zy_JR9_Y8dE
set_EIQlDpgAY5Y,Sara Landry,Sara Landry Boiler Room Set,https://www.youtube.com/watch?v=EIQlDpgAY5Y
set_Fa8LQLy4C5A,riria,riria Boiler Room Set,https://www.youtube.com/watch?v=Fa8LQLy4C5A
set_EfZu4BCi644,Acid Pauli,Acid Pauli Boiler Room Set,https://www.youtube.com/watch?v=EfZu4BCi644
