set_id,dj_name,set_title,youtube_url,video_filename,video_path,video_size_mb,downloaded
set_bk6Xst6euQk,Solomun,Solomun Boiler Room Set,https://www.youtube.com/watch?v=bk6Xst6euQk,set_bk6Xst6euQk.mp4,/Users/joshrees/Desktop/CODEX hackathib/data/raw/videos/set_bk6Xst6euQk.mp4,1433.3,True
set_1_unknown_dj,Fred again..,Fred again.. | Boiler Room: London,https://www.youtube.com/watch?v=c0-hvjV2A5Y,set_1_unknown_dj.mp4,/Users/joshrees/Desktop/CODEX hackathib/data/raw/videos/set_1_unknown_dj.mp4,750.9,True
set_T3gcbYL2VMg,Charli xcx,Charli xcx Boiler Room Set,https://www.youtube.com/watch?v=T3gcbYL2VMg,set_T3gcbYL2VMg.mp4,/Users/joshrees/Desktop/CODEX hackathib/data/raw/videos/set_T3gcbYL2VMg.mp4,953.7,True
set_2_unknown_dj,Kaytranada,Kaytranada | Boiler Room: Montreal,https://www.youtube.com/watch?v=-5EQIiabJvk,set_2_unknown_dj.mp4,/Users/joshrees/Desktop/CODEX hackathib/data/raw/videos/set_2_unknown_dj.mp4,494.6,True
set_3_unknown_dj,¥ØU$UK€ ¥UK1MAT$U,¥ØU$UK€ ¥UK1MAT$U | Boiler Room: Tokyo,https://www.youtube.com/watch?v=T1tcUfUhR5U,set_3_unknown_dj.mp4,/Users/joshrees/Desktop/CODEX hackathib/data/raw/videos/set_3_unknown_dj.mp4,718.2,True
set_x9VYKrtziSg,Sama' Abdulhadi,Sama' Abdulhadi Boiler Room Set,https://www.youtube.com/watch?v=x9VYKrtziSg,set_x9VYKrtziSg.mp4,/Users/joshrees/Desktop/CODEX hackathib/data/raw/videos/set_x9VYKrtziSg.mp4,670.8,True
set_Zy_JR9_Y8dE,Chase & Status,Chase & Status Boiler Room Set,https://www.youtube.com/watch?v=Zy_JR9_Y8dE,set_Zy_JR9_Y8dE.mp4,/Users/joshrees/Desktop/CODEX hackathib/data/raw/videos/set_Zy_JR9_Y8dE.mp4,809.0,True
set_EIQlDpgAY5Y,Sara Landry,Sara Landry Boiler Room Set,https://www.youtube.com/watch?v=EIQlDpgAY5Y,set_EIQlDpgAY5Y.mp4,/Users/joshrees/Desktop/CODEX hackathib/data/raw/videos/set_EIQlDpgAY5Y.mp4,613.1,True
set_Fa8LQLy4C5A,riria,riria Boiler Room Set,https://www.youtube.com/watch?v=Fa8LQLy4C5A,set_Fa8LQLy4C5A.mp4,/Users/joshrees/Desktop/CODEX hackathib/data/raw/videos/set_Fa8LQLy4C5A.mp4,581.1,True
set_EfZu4BCi644,Acid Pauli,Acid Pauli Boiler Room Set,https://www.youtube.com/watch?v=EfZu4BCi644,set_EfZu4BCi644.mp4,/Users/joshrees/Desktop/CODEX hackathib/data/raw/videos/set_EfZu4BCi644.mp4,1061.4,True
